cs_number,title,url
1,KNOLSKAPE: Helping to transform talent with the performance and scaling power of Google Cloud,https://www.searce.com/cs-1-detail
2,"To put a stop to 'fake news', Logically partners with Searce to scale cost-effectively with Preemptible Virtual Machines on Google Cloud",https://www.searce.com/cs-2-detail
3,inshorts: Delivering mobile news solutions with Google Cloud to serve Indian readers better,https://www.searce.com/cs-3-detail
4,Searce Helps Colive Engage Renters with Fluid Digital Experiences Using AWS,https://www.searce.com/cs-4-detail
5,Rapido: Finding the quickest route to success with Google,https://www.searce.com/cs-5-detail
6,Bizzy Group Unlocks Business Opportunities with Data on AWS,https://www.searce.com/cs-6-detail
7,SoCash: Connecting Asia’s consumers to mobile-driven cash services through Google Maps Platform,https://www.searce.com/cs-7-detail
8,Rebel Foods: Pinpointing customers for food delivery with Google Maps Platform,https://www.searce.com/cs-8-detail
9,Ibibo Group: Improving customer experiences with Google Maps Platform and Google Cloud,https://www.searce.com/cs-9-detail
10,ICICI Prudential Life Insurance: Using Vision API to efficiently process thousands of documents,https://www.searce.com/cs-10-detail
11,Scribendi: Editing made easy,https://www.searce.com/cs-11-detail
12,RedDoorz: Boosting work productivity via collaborative and secure workspaces enabled by Google Workspace,https://www.searce.com/cs-12-detail
13,"Electronica Finance Limited: Creating, updating, and fine-tuning machine loans in real time",https://www.searce.com/cs-13-detail
14,Thirdware: Unifying 25 years of knowledge to give technology services a competitive advantage,https://www.searce.com/cs-14-detail
15,Largest Motorcycle Manufacturer uses GCP to Create Chatbots for Internal and External Efficiency Gains,https://www.searce.com/cs-15-detail
16,Building Conversational Bots Using Amazon Lex,https://www.searce.com/cs-16-detail
17,Accurate Facial Recognition For Customer Identification Using AWS Rekognition,https://www.searce.com/cs-17-detail
18,Lifesight Migrates To GCP To Modernize Its Infrastructure Leveraging Google BigQuery And Google Kubernetes Engine,https://www.searce.com/cs-18-detail
19,"FlowerAura Implements Data Lake Solution and Recommendations Engine for Actionable, Real-time Insights Into Customer's Behavior",https://www.searce.com/cs-19-detail
20,Professional Services Micro-enterprise Automates its Business Process by Leveraging G Suite,https://www.searce.com/cs-20-detail
21,North Avenue Capital Automates Credit Eligibility Process With GCP,https://www.searce.com/cs-21-detail
22,"ISG Improves its Platform Performance, Achieves 30% Savings on Operational Costs by Moving to AWS",https://www.searce.com/cs-22-detail
23,Consumer Goods Company Uses GCP To Turn Videos Into Queryable Database,https://www.searce.com/cs-23-detail
24,Searce Helps Colive To Predict Inventory Requirements And Forecast Revenue Possibilities,https://www.searce.com/cs-24-detail
25,How Theta increased scalability with reduced operational overheads using Google Cloud Platform,https://www.searce.com/cs-25-detail
26,How Convo Reduced its Costs and Created a Better User Experience by Leveraging G Suite,https://www.searce.com/cs-26-detail
27,How OpsRamp used Google Cloud to Integrate & Deploy their Pods with Minimal Operational Overheads,https://www.searce.com/cs-27-detail
28,How Ujet Increased its Scalability and performance using Multi-Cloud Support through GCP,https://www.searce.com/cs-28-detail
29,How Step Onboarded the Searce’s Cloud Acceleration Program to Provide A Holistic Engagement to its Users,https://www.searce.com/cs-29-detail
30,How Numadic Used Google Maps to Leverage Real-Time Traffic Data to Avoid Bottlenecks and Reduce Wait Time,https://www.searce.com/cs-30-detail
31,Bounce: Making urban mobility more accessible in India with Google Maps Platform,https://www.searce.com/cs-31-detail
32,How Ugam Could Reduce its Query Execution Time using the Power of AWS,https://www.searce.com/cs-32-detail
33,How One of the World’s Largest Watch Manufacturers Built a Recommendation Engine to Enhance User Experience using AWS,https://www.searce.com/cs-33-detail
34,How EarlySalary used AWS to Improve its Response Time for Reports by over 50%,https://www.searce.com/cs-34-detail
35,How a Sports Tech Brand used AWS for Faster Execution of Complex Queries on Big Data,https://www.searce.com/cs-35-detail
36,How FlytBase Secured Multiple Single Site Setups using EC2,https://www.searce.com/cs-36-detail
37,How a Pay-Later Fintech Firm Devised a Change Optimization Program to Achieve its Goals and Chose DevOps as the Centerpiece of that Program,https://www.searce.com/cs-37-detail
38,How a Payment Gateway Platform Dramatically Increased Customer Effectiveness and Efficiency on a Global Scale using AWS,https://www.searce.com/cs-38-detail
39,How An E-commerce Brand Built a Scalable Infrastructure for its Increasing Demands using AWS,https://www.searce.com/cs-39-detail
40,How PickMe used Google Cloud Platform to Reduce Management Overheads and Build a More Reliable Infrastructure,https://www.searce.com/cs-40-detail
41,The Kirloskar Group Migrated to Google Workspace to Enable Efficient Business Operations and Proactive Decision-Making,https://www.searce.com/cs-41-detail
42,Bizzy Chooses Google Workspace to Enhance Business Operations and Improve Collaborations for Better Outcomes,https://www.searce.com/cs-42-detail
43,How NJ Group Shifted to Google Workspace to Work More Efficiently with Increased Security,https://www.searce.com/cs-43-detail
