industry_code,cs_number,title,url
FSI,128,PasaJob saves 62% on Cloud Costs with Searce-led Google Cloud Migration,https://www.searce.com/cs-128-detail
FSI,61,Searce Helps Harappa to Encrypt Data at Rest and Data at Transit of the MongoDB Atlas Database,https://www.searce.com/cs-61-detail
FSI,34,How EarlySalary used AWS to Improve its Response Time for Reports by over 50%,https://www.searce.com/cs-34-detail
FSI,66,"Europ Assistance: RePlatforming, Migrating Databases from On-Prem Servers to RDS-MySQL",https://www.searce.com/cs-66-detail
FSI,10,ICICI Prudential Life Insurance: Using Vision API to efficiently process thousands of documents,https://www.searce.com/cs-10-detail
FSI,134,How Remitano Transformed its Data Timeliness by Reducing Query Speeds by 8 Hours,https://www.searce.com/cs-134-detail
FSI,97,Searce Modernizes Data Infrastructure for a Century-Old US-Based Community Bank,https://www.searce.com/cs-97-detail
FSI,106,Searce Drives Efficiency and Innovation for Fintech Leader Finder,https://www.searce.com/cs-106-detail
FSI,103,From Legacy Databases to Real-Time Growth: How Searce Helped a FinTech Giant Unlock Potential,https://www.searce.com/cs-103-detail
TTL,75,India's Leading Logistics Company Migrated SAP Data Analytics Workloads on AWS to Improve Consignment Level Business Insights,https://www.searce.com/cs-75-detail
TTL,5,Rapido: Finding the quickest route to success with Google,https://www.searce.com/cs-5-detail
TTL,44,How Caravel Logistics Improved their Productivity using Google Workspace,https://www.searce.com/cs-44-detail
TTL,104,Searce Helps Kaebox Leverage Google Maps Platform to Elevate Delivery Experience,https://www.searce.com/cs-104-detail
TTL,92,Driving Logistics Innovation with Searce & Google Cloud,https://www.searce.com/cs-92-detail
TTL,82,How Searce Helped Ryde Technologies Enhance Customer Experience and Drive Growth in New Markets,https://www.searce.com/cs-82-detail
TTL,8,Rebel Foods: Pinpointing customers for food delivery with Google Maps Platform,https://www.searce.com/cs-8-detail
RCE,119,Tabsquare and Searce: Scaling Up with Google Cloud to Deliver Seamless Ordering Experiences and Ensure 100% Uptime,https://www.searce.com/cs-119-detail
RCE,54,Vyapar: Rearchitecturing the solution to reduce latency and optimize performance with Searce and AWS,https://www.searce.com/cs-54-detail
RCE,51,Yaantra partners with Searce & Google Cloud to help consumers with a single window stopover for smart gadgets in India,https://www.searce.com/cs-51-detail
RCE,39,How An E-commerce Brand Built a Scalable Infrastructure for its Increasing Demands using AWS,https://www.searce.com/cs-39-detail
RCE,6,Bizzy Group Unlocks Business Opportunities with Data on AWS,https://www.searce.com/cs-6-detail
RCE,124,Searce helps Omnichannel Retail Leader Boost E-Commerce with Automated Image Metadata Generation using AWS,https://www.searce.com/cs-124-detail
RCE,56,Prime Captain Prioritizes Innovation and Ensures Smooth Scaling with Searce and AWS,https://www.searce.com/cs-56-detail
RCE,57,"Mindvalley Achieves Improved CI/CD, Automation and Better Security After Migrating to Google Cloud",https://www.searce.com/cs-57-detail
HLS,138,"Big Savings, Bigger Scale: Pharma Giant's Move from IBM Netezza to Google Cloud BigQuery",https://www.searce.com/cs-138-detail
HLS,69,USV Leverages AWS Data Lake for Analytics and Business Insights,https://www.searce.com/cs-69-detail
HLS,114,Empowering 50% Faster Drug Discovery with Automated Protein Analysis for a Leading Biotech,https://www.searce.com/cs-114-detail
HLS,131,Searce helps Redcliffe Labs Improve the Cloud Security Posture Through the Use of Google Cloud Native Security Services,https://www.searce.com/cs-131-detail
HLS,76,Searce's Solution Helped EPL to Perform Cost Effective IoT & SAP Data Analytics on AWS,https://www.searce.com/cs-76-detail
HLS,118,Enabling Preventive Maintenance for a Global Steel Manufacturer,https://www.searce.com/cs-118-detail
HLS,91,IndiaFirst Life Works With Searce to Achieve IT Infrastructure Transformation,https://www.searce.com/cs-91-detail
TMEG,3,inshorts: Delivering mobile news solutions with Google Cloud to serve Indian readers better,https://www.searce.com/cs-3-detail
TMEG,2,"To put a stop to 'fake news', Logically partners with Searce to scale cost-effectively with Preemptible Virtual Machines on Google Cloud",https://www.searce.com/cs-2-detail
TMEG,74,"A Geo-Spatial Analytical Industry Leader Modernized Their Applications Landscape to be Agile, Resilient and Scalable With the Help of AWS Native Services",https://www.searce.com/cs-74-detail
TMEG,5,Rapido: Finding the quickest route to success with Google,https://www.searce.com/cs-5-detail
TMEG,32,How Ugam Could Reduce its Query Execution Time using the Power of AWS,https://www.searce.com/cs-32-detail
TMEG,88,Scribendi: Transforming Online Editing and Proofreading Services with Google Cloud and Searce,https://www.searce.com/cs-88-detail
TMEG,51,Yaantra partners with Searce & Google Cloud to help consumers with a single window stopover for smart gadgets in India,https://www.searce.com/cs-51-detail
TMEG,56,Prime Captain Prioritizes Innovation and Ensures Smooth Scaling with Searce and AWS,https://www.searce.com/cs-56-detail
TSS,27,How OpsRamp used Google Cloud to Integrate & Deploy their Pods with Minimal Operational Overheads,https://www.searce.com/cs-27-detail
TSS,59,Searce Helps IIT Madras Leverage Scalable Infrastructure and Achieve Lean Response Time,https://www.searce.com/cs-59-detail
TSS,55,"Product Development Tech Solutions Company Leverages Searce Expertise and AWS Technologies to Ensure Scalable, Cost-Effective and Secure Deployments",https://www.searce.com/cs-55-detail
TSS,58,How Searce Helped Truegy Automate Deployment and Achieve Cost Optimization,https://www.searce.com/cs-58-detail
TSS,53,"Aruba leverages AWS, DevOps tools to build, deploy and manage EKS Services",https://www.searce.com/cs-53-detail
TSS,72,Xeno Runs Their AI Powered CRM Through the Infrastructure and Apps Hosted on AWS,https://www.searce.com/cs-72-detail
TSS,26,How Convo Reduced its Costs and Created a Better User Experience by Leveraging G Suite,https://www.searce.com/cs-26-detail
TSS,57,"Mindvalley Achieves Improved CI/CD, Automation and Better Security After Migrating to Google Cloud",https://www.searce.com/cs-57-detail
TSS,88,Scribendi: Transforming Online Editing and Proofreading Services with Google Cloud and Searce,https://www.searce.com/cs-88-detail
TSS,100,How Searce Helped SourseAI Unlock Growth Potential With Google Cloud,https://www.searce.com/cs-100-detail
TSS,99,From Cost Strain to Scalable Growth: How Searce Helped GivePanel Conquer Their Cloud Challenges,https://www.searce.com/cs-99-detail
TSS,70,Learn How Searce Assisted Ayoconnect in Accommodating a One-thousand-fold Surge in Apigee API Hits,https://www.searce.com/cs-70-detail
TSS,105,Beyond Upgrades: A Strategic Approach to Insurun's Cloud Infrastructure with Searce,https://www.searce.com/cs-105-detail
TSS,85,Searce Helped Kissht Drive Business Agility by Using AWS EKS Services,https://www.searce.com/cs-85-detail
TSS,94,How Searce Helped Aruba Modernize their Databases with AWS DynamoDB,https://www.searce.com/cs-94-detail
MCM,96,Searce Empowers Leading Global Steel Manufacturer with Real-Time Data Insights,https://www.searce.com/cs-96-detail
MCM,109,Revving Up Efficiency: Leading Vehicle Inspection App Slashes Training Times by 46% with A100 GPUs for Faster Automotive AI,https://www.searce.com/cs-109-detail
MCM,118,Enabling Preventive Maintenance for a Global Steel Manufacturer,https://www.searce.com/cs-118-detail
MCM,112,Searce Helps Indonesian Manufacturing Giant Achieve a 50% Boost to Performance and 30% Cost Savings,https://www.searce.com/cs-112-detail
MCM,15,Largest Motorcycle Manufacturer uses GCP to Create Chatbots for Internal and External Efficiency Gains,https://www.searce.com/cs-15-detail
MCM,86,Searce Helped Razor Group by Leveraging AWS Lambda Which Helped Them Increase the Scalability and Efficiency,https://www.searce.com/cs-86-detail
PSE,89,"Searce Transforms Success Resources' GCP Architecture to Increase Security, Operational Efficiency, and Reliability",https://www.searce.com/cs-89-detail
PSE,59,Searce Helps IIT Madras Leverage Scalable Infrastructure and Achieve Lean Response Time,https://www.searce.com/cs-59-detail
PSE,57,"Mindvalley Achieves Improved CI/CD, Automation and Better Security After Migrating to Google Cloud",https://www.searce.com/cs-57-detail
PSE,113,Searce Helps Static Media Increase Content Throughput by 3.5x with AI-Powered Efficiency,https://www.searce.com/cs-113-detail
