Company / Client Name,Region,Industry Name,Service Name,Case Study Title,One-Line Summary / Core Focus,Business Context,Solution,Business Impact & Key Metrics,Tech Stack
Ayoconnect,APAC,Financial Services & Insurance (FSI),Infra Modernization,Scalable DevOps: Bitbucket to Jenkins Pipelines,Migration from Bitbucket pipelines to Jenkins on GKE for scalable CI/CD and versatile pipelines.,AyoConnect engg team was limited by what Bitbucket pipelines can do in terms of control and versatility. Limitations of running builds in docker containers. Ayoconnect wanted to make their DevOps pipelines more versatile and scalable.,"Created infrastructure using Terraform in Google cloud. Using google best practices installed Jenkins Dynamic Build agents on GKE. Installed, and configured the plugins on Jenkins. Setup Google SSO on Jenkins. Implemented SonarQube Scanner, slack notifications. Created Pipelines on Jenkins, trigger on Bitbucket Push event. Configure each build stages in pipelines as shared libraries in Jenkins.","Increased agility and faster rollout of features. Highly customizable and scalable CI/CD pipelines on GKE environment. Deliver customer serving active pipelines for GoLang, Node JS, and other applications. Deliver customer centralized DevOps automated workflows to Google Cloud.","Jenkins, GKE, Terraform, SonarQube, Slack, Bitbucket"
Ayoconnect,APAC,Financial Services & Insurance (FSI),Cloud Modernization,Apigee Re-architecture,Re-architecture of network design with applying Landing Zone and migrating Apigee X to a new shared VPC.,Reorganization and regrouping of Ayoconnect APIs as per best practices. Re-architecture of Ayoconnect Google Cloud Instance by implementing a Landing Zone and redeploying Apigee X in a Host project. Migrate Ayoconnect environments from Apigee X at Project level (45 Google Cloud projects) to Apigee X in Host project for a new Shared VPC on Google Cloud.,"Designed the Google Cloud Landing Zone as per best practices to ensure the consistency, scalability and governance. Isolation across different environments using Google Cloud firewalls and environment specific subnets. Performed and completed the assessment and foundation using custom Terraform modules. Performed and completed the migration of Labs Project resources (Cloud Run, Cloud Functions) and Apigee to the new Shared VPC.","Implement Ayoconnect landing zone to get the benefit of enhanced security, improved efficiency and streamlined the governance & compliance. Get more clear visibility and control on Ayoconnect current APIs. The new environment is architected to be scalable which is beneficial in all the public facing applications. Improved accuracy and security in applying CI/CD pipeline as per best practices.","Apigee, Cloud Functions, Cloud Run, Cloud SQL, Compute Engine, Load Balancing, Virtual Private Cloud"
Insurun,AMER,Financial Services & Insurance (FSI),Cloud Modernization,Infra and Apps deployment to GKE Infra v1.25,Migration of apps and GKE Infra to v1.25 for Staging and Production environments.,Establish CI/CD from Cloud Build for both staging and production environment. Upgrade the GKE infra to v1.25. Upgrade deployment scripts to Helm3. Successful DNS cutover to Prod GKE Cluster deployed by Searce.,Searce Team deployed the staging and production environment with GKE infra v1.25. Cloud Build CI/CD set up achieved from the centralised DevOps project to the destination staging and production project. Applications deployed with upgraded Helm v3. Successfully created Cloud Build triggers for the Infra and Application deployment and ensured the deployment of 74 micro-services.,Insurun is running on the latest GKE version 1.25. Applications are deployed using the latest Helm v3 charts and achieved successful deployment for them in GKE Cluster. Established Automation through Cloud Build CI/CD set up in place thereby achieving the DevOps framework for Insurun. Achieving TF code level deployment for Insurun using Cloud Build with Security best practices in place.,"Google Kubernetes Engine, Cloud Build, Terraform, Helm3"
Toorak Capital Partners,AMER,Financial Services & Insurance (FSI),Cloud Modernization,AWS to Google Cloud Migration & Code Refactoring,"Migration of existing infrastructure, apps, and Data Warehouse from AWS to Google Cloud.","Toorak Capital wanted to Migrate their infrastructure, App and Data Warehouse to Google Cloud and leverage cost efficiency on Google Cloud. As part of migration Searce assisted Toorak to refactor 38 apps, 10 Core Lambdas and 14 ML lambdas and deploy them on Google Cloud. Toorak to leverage Google Cloud Data services of BigQuery, Dataproc, DocAI and Cloud SQL services.","Deployed Google Cloud Landing zone - Resource Hierarchy set up for 3 projects. Jenkins Deployment achieved through Shared Library migration from AWS thereby ensuring that the existing folder set up is retained for Toorak team. Refactored pipelines to push SDKs, services to Google Artifact registry for python, java and node.js. Ingress configurations for internal routing of apps configured and deployed.",Automation: Infra hosted on Google Cloud with resources being deployed through Terraform. HA: HPA enabled on GKE to ensure the high availability is enabled for all the pods running on the cluster. Securing the GKE workload with Workload Identity services. Security: Cloud armor securing the infra from any DDOS/OWASP Top 10 attacks.,"Compute Engine, Kubernetes Engine, Memorystore, Cloud SQL, Cloud Functions, Cloud VPN, Cloud Armor, Artifact Registry, Cloud Storage"
"OMS, CICD and Billing Migration",APAC,Financial Services & Insurance (FSI),Cloud Modernization,"OMS, CICD and Billing Migration","OMS, CICD and Billing Migration",The OMS Project needs to be migrated to the SM Retail Landing Zone for security compliance Migration to the SM Retail Landing Zone for standardization of network connectivity and identity policies APAC,OMS will be moved to the SM Retail organization The OMS project will have a Production and UAT/Dev environment The Jenkins Server used for CICD will be migrated to a separate GCP project under the Common Services folder,Better security compliance Standardization of network connectivity Identity of best policies.,
Early Salary,APAC,Financial Services & Insurance (FSI),Infra Modernization,Re-Architecting the Infrastructure for AutoScaling,Re-architecting infra on AWS Aurora for unpredictable workloads.,High latency in the database leading to delay in reportings mainly due to Unpredictable loads. High Latency due to Complex queries being run on the RDS read replica with High IO.,"Deployed the necessary VPCs, subnets, EC2 instances for the application, & database servers. Created automated RDS backups setup. Configured CloudWatch, RDS monitoring metrics and DB event notifications. Set up Application Load Balancer to serve request to the EC2 instances with SSL certificates from AWS Certificate Manager.",Response time for reports improved by over 50%. New & better reports were created with lesser cost. EC2 usage was optimised drastically and only the resources that were utilized were paid. Auto scaling option on Aurora handled unpredictable workloads. New resources and services were used to analyse data and run intelligent queries.,"EC2, Aurora, CloudWatch, Application Load Balancer, AWS Certificate Manager"
Anchorage,AMER,Financial Services & Insurance (FSI),Infra Modernization,Automating Resource Management on GCP,One-click Terraform scripts with error-handling and rollback for resource management.,Customer wanted a script to re-use in multiple project/environment to deploy complete end-to-end setup with no human intervention/input required while running the script. Security was key. Smart error handling in each step with rollback option to delete the deployed resources in case of failure. Script should have option to create completely new network stack and also to use existing network resources.,Script written to start the deployment with Single-click and minimum inputs. All resources created using Terraform are rollback. Multiple state management on Google Cloud state bucket making the code capable of managing separate state files for individual stack. Validations in place to check for existing Networking components and skipping their creation part. Buildkite metrics agent runs on an isolated managed service.,Developed CI solution which utilizes Buildkite effectively and efficiently. Automated environment provisioning saving devops hours.,"Terraform, Buildkite, Google Cloud Storage"
Step,AMER,Financial Services & Insurance (FSI),Infra Modernization,Optimizing Costs on Google Cloud with Searce,Cloud Acceleration Program deployment for cost optimization.,"Cost Optimization & Performance: Looking to optimise cost by leveraging true cloud economics, longer commitments and enhance performance using cloud native services. Cloud Support: Step was evaluating service providers for auditing their infrastructure and deploying the best cloud practices.","Searce's Cloud Acceleration Program: Provide a holistic engagement with Google Cloud for optimization and support, i.e. dedicated TAM, Cloud Wellness Checks, 24*7 Support Services, On-demand Consulting Hours, Security Posture Review and more.","Cost Optimization & Architecture Consultation: Significant cost reduction by optimising the architecture whilst enhanced performance by leveraging managed cloud native services. Leveraging discounting option like SUD, CUD & revenue commit to improve TCO.",Google Cloud Native Services
API security,APAC,Financial Services & Insurance (FSI),Infra Modernization,API Management & DA for Insurance Giant,"Leverage Apigee for API development, integration and management. Unified DA for 8 different data sources on BQ",Expand the partner ecosystem by onboarding of new online insurance brokers via APIs and ensure security of data. Onboard new brokers in an efficient and self service manner Track key metrics to monitor and optimise broker sales performance Create a robust technology platform to release and mange new functional changes API security was the biggest concern,"Delivered API management platform using Apigee Edge Enabled API developer portal & SDK for sign-up, registration & seamless integration of new partners with approval workflow Enabled API staging environment for partners to test & QA integration API versioning for managing change effectively Consulting with ICICI technical team to standardise backend APIs leading to better management & integration","Aggregated data from 7 different source systems to BigQuery for building an analytics warehouse to support GBGFs like Risk Analytics, Marketing Analytics, CRANE, etc. Automation and orchestration of pipelines to reduce manual dependency and TAT. Photo deduplication of 12L images on GCP for near real time application approval with an accuracy of 97.8%",
API performance API security,APAC,Financial Services & Insurance (FSI),Infra Modernization,API Management for AI Automation Tool,"Leverage Apigee for testing & development, management and monitoring of APIs",Easy integration new customer in an efficient and self service manner Ensure security of customer and document data during analysis Track key metrics to monitor and optimise API performance API security was one of the biggest challenges. To create a platform that is efficient enough to accomodate any major functional changes,Delivered API management platform using Apigee Edge Enabled API staging environment for customers to test & QA integration API versioning for managing change effectively Usage report to track the subscription purchased by customer,75% reduction in time for customer onboarding and integration Customer dashboard for usage analysis Developer team is focusing on core features and all API management workload transferred to Apigee Edge,
